fullcurrname,CAS_SPC
Labeobarbus mawambiensis,1734
Labeobarbus mbami,1735
Enteromius mediosquamatus,1736
Barbus meridionalis,1737
Barbus petenyi,1739
Labeobarbus NULL,1740
Luciobarbus microcephalus,1741
Labeobarbus micronema,1742
Labeobarbus NULL,1743
Enteromius mimus,1744
Enteromius miolepis,1745
Enteromius miolepis,1746
Enteromius miolepis,1747
Enteromius miolepis,1748
Enteromius miolepis,1749
Enteromius rubrostigma,1750
Labeobarbus mirabilis,1752
Enteromius mocoensis,1753
Enteromius mohasicus,1754
Tor mosal,1755
Enteromius motebensis,1756
Enteromius motebensis,1757
Enteromius multilineatus,1758
Labeobarbus mungoensis,1760
Luciobarbus mursa,1761
Luciobarbus mursa,1762
Luciobarbus mursa,1763
Barbus miliaris,1764
Enteromius musumbi,1765
Enteromius radiatus,1766
Enteromius radiatus,1767
Labeobarbus nanningsi,1769
Luciobarbus nasus,1770
Luciobarbus magniatlantis,1771
Labeobarbus natalensis,1772
Labeobarbus natalensis,1773
Labeobarbus natalensis,1774
Labeobarbus natalensis,1775
Labeobarbus natalensis,1776
Labeobarbus natalensis,1777
Labeobarbus natalensis,1778
Labeobarbus natalensis,1779
Labeobarbus natalensis,1780
Labeobarbus natalensis,1781
Labeobarbus natalensis,1782
Labeobarbus natalensis,1783
Enteromius neefi,1784
Enteromius neglectus,1785
Enteromius neumayeri,1786
Enteromius neumayeri,1787
Enteromius neumayeri,1788
Enteromius neumayeri,1789
Enteromius neumayeri,1790
Enteromius neumayeri,1791
Enteromius neumayeri,1792
Enteromius neumayeri,1793
Enteromius nigeriensis,1794
Enteromius nigrifilis,1795
Pethia nigrofasciata,1796
Enteromius nigroluteus,1797
Enteromius niokoloensis,1798
Enteromius nyanzae,1799
Labeobarbus bynni,1800
Enteromius okae,1801
Enteromius oligogrammus,1802
Luciobarbus pectoralis,1803
Enteromius owenae,1804
Labeobarbus oxyrhynchus,1805
Labeobarbus oxyrhynchus,1806
Labeobarbus oxyrhynchus,1807
Labeobarbus oxyrhynchus,1808
Labeobarbus oxyrhynchus,1809
Labeobarbus oxyrhynchus,1810
Labeobarbus oxyrhynchus,1811
Labeobarbus oxyrhynchus,1813
Enteromius apleurogramma,1814
Labeobarbus oxyrhynchus,1815
Labeobarbus oxyrhynchus,1816
Labeobarbus pagenstecheri,1817
Enteromius pallidus,1818
Enteromius pallidus,1820
Enteromius paludinosus,1821
Enteromius paludinosus,1822
Enteromius paludinosus,1823
Enteromius paludinosus,1824
Enteromius paludinosus,1825
Enteromius paludinosus,1826
Enteromius akakianus,1827
Enteromius paludinosus,1828
Enteromius papilio,1829
Enteromius parablabes,1830
Labeobarbus lobogenysoides,1831
Labeobarbus lobogenysoides,1832
Luciobarbus pectoralis,1833
Luciobarbus barbulus,1834
Enteromius pellegrini,1835
Enteromius pellegrini,1836
Enteromius petchkovskyi,1838
Labeobarbus petitjeani,1839
Pseudobarbus phlegethon,1840
Pethia phutunio,1841
Labeobarbus platyrhinus,1842
Enteromius pleurogramma,1843
Clypeobarbus pleuropholis,1844
Clypeobarbus bomokandi,1845
Clypeobarbus pleuropholis,1846
Clypeobarbus pleuropholis,1847
Clypeobarbus pleuropholis,1848
Enteromius pobeguini,1849
Enteromius pobeguini,1850
Enteromius pobeguini,1851
Enteromius poechii,1852
Enteromius poechii,1853
Labeobarbus polylepis,1854
Labeobarbus polylepis,1855
Barbus prespensis,1856
Enteromius prionacanthus,1857
Tor putitora,1858
Labeobarbus progenys,1859
Clypeobarbus pseudognathodon,1860
Enteromius brevidorsalis,1861
Enteromius pumilus,1862
Enteromius punctitaeniatus,1863
Enteromius pygmaeus,1864
Enteromius quadripunctatus,1866
Enteromius radiatus,1867
Enteromius radiatus,1868
Enteromius radiatus,1869
Enteromius radiatus,1870
Enteromius profundus,1872
Enteromius radiatus,1873
Enteromius radiatus,1874
Enteromius radiatus,1875
Enteromius raimbaulti,1876
Barbus NULL,1877
Labeobarbus reinii,1879
Labeobarbus rhinophorus,1880
Labeobarbus rocadasi,1881
Enteromius rohani,1882
Labeobarbus rosae,1883
Enteromius roussellei,1884
Enteromius rouxi,1885
Labeobarbus roylii,1886
Labeobarbus ruasae,1887
Labeobarbus sacratus,1888
Systomus sarana,1889
Garra sauvagei,1890
Clypeobarbus schoutedeni,1891
Barbonymus schwanefeldii,1892
Cheilobarbus serra,1893
Enteromius sexradiatus,1894
Mesopotamichthys sharpeyi,1895
Mesopotamichthys sharpeyi,1896
Labeobarbus somereni,1897
Dawkinsia srilankensis,1898
Enteromius stanleyi,1899
Enteromius stanleyi,1900
Labeobarbus stappersii,1901
Labeobarbus stappersii,1902
Labeobarbus stappersii,1903
Labeobarbus stappersii,1904
Enteromius stauchi,1905
Luciobarbus steindachneri,1906
Enteromius stigmasemion,1907
Enteromius stigmatopygus,1908
Pethia stoliczkana,1909
Enteromius subinensis,1910
Enteromius sublineatus,1911
Luciobarbus subquincunciatus,1912
Enteromius sylvaticus,1913
Enteromius syntrechalepis,1914
Enteromius taeniopleura,1915
Enteromius taeniurus,1916
Enteromius paludinosus,1917
Enteromius tangandensis,1918
Enteromius tegulifer,1919
Pseudobarbus tenuis,1920
Enteromius trinotatus,1921
Enteromius tetrastigma,1922
Desmopuntius rhomboocellatus,1923
Enteromius thamalakanensis,1924
Enteromius thamalakanensis,1925
Enteromius thysi,1926
Enteromius tomiensis,1927
Enteromius tongaensis,1928
Enteromius toppini,1929
Enteromius toppini,1930
Labeobarbus trachypterus,1931
Enteromius treurensis,1933
Amatolacypris trevelyani,1934
Amatolacypris trevelyani,1935
Enteromius trimaculatus,1936
Enteromius trimaculatus,1937
Enteromius trimaculatus,1939
Enteromius trimaculatus,1940
Enteromius trinotatus,1941
Enteromius trispilomimus,1942
Enteromius trispilopleura,1943
Enteromius trispilos,1944
Labeobarbus tropidolepis,1945
Enteromius unitaeniatus,1946
Enteromius unitaeniatus,1947
Enteromius unitaeniatus,1948
Enteromius unitaeniatus,1949
Enteromius unitaeniatus,1950
Enteromius urostigma,1951
Labeobarbus urotaenia,1952
Enteromius usambarae,1953
Enteromius vanderysti,1954
Enteromius viktorianus,1955
Enteromius viviparus,1956
Enteromius bifrenatus,1957
Labeobarbus bynni,1958
Enteromius walkeri,1959
Enteromius wellmani,1960
Enteromius werneri,1961
Luciobarbus xanthopterus,1962
Enteromius yeiensis,1963
Enteromius yongei,1964
Enteromius zalbiensis,1965
Enteromius zanzibaricus,1966
Enteromius zanzibaricus,1967
Enteromius zanzibaricus,1968
Enteromius zanzibaricus,1969
Enteromius zanzibaricus,1970
Barilius mesopotamicus,1972
Barilius vagra,1973
Barilius vagra,1974
Barilius vagra,1975
Blicca bjoerkna,1976
Danio rerio,1979
Campostoma oligolepis,1981
Campostoma ornatum,1982
Capoeta aculeata,1985
Capoeta buhsei,1987
Capoeta gracilis,1989
Capoeta heratensis,1990
Capoeta capoeta,1991
Capoeta capoeta,1992
Capoeta capoeta,1993
Capoeta damascina,1995
Capoeta damascina,1996
Capoeta damascina,1997
Capoeta umbla,1998
Capoeta saadii,1999
Capoeta saadii,2000
Capoeta saadii,2001
Capoeta saadii,2002
Capoeta saadii,2003
Capoeta fusca,2004
Capoeta fusca,2005
Barbodes semifasciolatus,2006
Carassioides acuminatus,2008
Carassius auratus,2009
Carassius cuvieri,2010
Carassius auratus,2011
Carassius langsdorfii,2012
Carassius gibelio,2013
Chelaethiops bibie,2015
Chelaethiops congicus,2016
Chelaethiops congicus,2017
Chelaethiops congicus,2018
Chelaethiops rukwaensis,2020
Alburnus chalcoides,2022
Alburnus chalcoides,2023
Alburnus chalcoides,2024
Alburnus chalcoides,2025
Alburnus sellal,2027
Alburnus sellal,2028
Alburnus sellal,2029
Alburnus sellal,2030
Alburnus sellal,2031
Pseudolaubuca sinensis,2034
Chondrostoma colchicum,2035
Chondrostoma kubanicum,2036
Chondrostoma cyri,2037
Chondrostoma oxyrhynchum,2038
Protochondrostoma genei,2039
Chondrostoma oxyrhynchum,2040
Chondrostoma phoxinus,2041
Pseudochondrostoma polylepis,2042
Parachondrostoma toxostoma,2045
Pseudochondrostoma willkommii,2047
Cirrhinus NULL,2048
Cirrhinus molitorella,2049
Cirrhinus mrigala,2050
Cirrhinus reba,2051
Gymnostomus ariza,2052
Clinostomus funduloides,2053
Cyprinion kais,2054
Cyprinion kais,2055
Cyprinion macrostomus,2057
Cyprinion tenuiradius,2058
Cyprinion watsoni,2059
Cyprinion watsoni,2062
Cyprinion milesi,2063
Cyprinion watsoni,2064
Cyprinion watsoni,2065
Cyprinion watsoni,2066
Cyprinion milesi,2067
